OP;Code;Date
-;BIDI11.SA^F22;44732
+;ARZZ3.SA;44683
-;LIGT3.SA;44683
+;RAIZ4.SA;44683
+;SMTO3.SA;44683
+;WIZS3.SA;44683
+;AURE3.SA;44648
-;CESP6.SA^C22;44648
-;GNDI3.SA^B22;44606
+;RRRP3.SA;44560
-;BIDI4.SA^F22;44560
+;CMIN3.SA;44560
-;GETT11.SA;44560
-;JHSF3.SA;44560
+;AMAR3.SA;44560
-;RAPT4.SA;44560
-;SAPR11.SA;44560
+;STBP3.SA;44560
+;SLCE3.SA;44560
-;TASA4.SA;44560
+;IGTI11.SA;44522
-;IGTA3.SA^K21;44522
+;GETT11.SA;44487
+;SOMA3.SA;44459
-;ALSO3.SA;44445
-;SBFG3.SA;44445
-;MEAL3.SA;44445
-;AMAR3.SA;44445
+;CASH3.SA;44445
-;NEOE3.SA;44445
+;PETZ3.SA;44445
+;POSI3.SA;44445
+;RDOR3.SA;44445
+;TASA4.SA;44445
+;BIDI11.SA^F22;44319
+;BIDI4.SA^F22;44319
+;BPAN4.SA;44319
-;CSMG3.SA;44319
-;TRPL4.SA;44319
-;MDIA3.SA;44319
+;ASAI3.SA;44256
-;BIDI4.SA^F22;44200
-;BPAN4.SA;44200
+;VIVT3.SA;44158
-;VIVT4.SA^K20;44158
-;BIDI11.SA^F22;44082
+;BIDI4.SA^F22;44082
-;BRSR6.SA;44082
+;SBFG3.SA;44082
-;MYPK3.SA;44082
+;JHSF3.SA;44082
+;LAME3.SA^A22;44082
+;AMAR3.SA;44082
-;SMLS3.SA^F21;44082
-;TCSA3.SA;44082
-;AESB3.SA;43955
+;ALSO3.SA;43955
+;ALPA4.SA;43955
+;BIDI11.SA^F22;43955
+;BPAN4.SA;43955
-;CMIG3.SA;43955
+;CPFE3.SA;43955
-;ENAT3.SA;43955
+;ENEV3.SA;43955
-;GFSA3.SA;43955
+;LCAM3.SA^G22;43955
-;LOGG3.SA;43955
-;POMO4.SA;43955
+;MOVI3.SA;43955
+;NEOE3.SA;43955
-;ODPV3.SA;43955
-;PCAR4.SA^C20;43955
+;PRIO3.SA;43955
-;SMTO3.SA;43955
-;SEER3.SA;43955
-;SLCE3.SA;43955
+;TCSA3.SA;43955
-;TEND3.SA;43955
-;TUPY3.SA;43955
-;VLID3.SA;43955
+;PCAR3.SA;43892
+;MEAL3.SA;43834
+;LWSA3.SA;43834
-;OIBR4.SA;43834
-;OIBR3.SA;43834
+;BPAC11.SA;43588
-;ALUP11.SA;43480
-;ARZZ3.SA;43480
-;LAME3.SA^A22;43480
-;WIZS3.SA;43480
+;CMIG3.SA;43469
+;HAPV3.SA;43469
+;GNDI3.SA^B22;43469
+;TEND3.SA;43469
+;TUPY3.SA;43469
-;FIBR3.SA^A19;43468
+;LOGG3.SA;43454
+;VIIA3.SA;43437
-;VVAR11.SA^K18;43430
-;CPFE3.SA;43346
-;ELPL3.SA^K19;43346
+;ENAT3.SA;43346
+;GFSA3.SA;43346
-;MPLU3.SA^D19;43346
+;SLCE3.SA;43346
-;ALSC3.SA^H19;43227
+;AZUL4.SA;43227
-;GFSA3.SA;43227
+;IRBR3.SA;43227
